host_time,seq,t_ms,setA,velA,pwmA,setB,velB,pwmB,setC,velC,pwmC
0.0131,5297,28615,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.0131,5298,28620,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.0131,5299,28625,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.0131,5300,28630,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.0131,5301,28635,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.0131,5302,28640,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.0131,5303,28645,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.0131,5304,28650,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.0783,5306,28660,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.0783,5307,28665,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.0783,5308,28670,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.0783,5309,28675,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.0783,5310,28680,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.0783,5311,28685,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.0783,5312,28690,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.0783,5313,28695,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1341,5314,28700,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1341,5315,28705,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1341,5316,28710,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1341,5317,28715,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1341,5318,28720,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1341,5319,28725,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1341,5320,28730,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1341,5321,28735,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1341,5322,28740,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1341,5323,28745,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1341,5324,28750,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1341,5325,28755,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1341,5326,28760,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1341,5327,28765,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1341,5328,28770,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1341,5329,28775,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1851,5330,28780,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1851,5331,28785,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1851,5332,28790,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1851,5333,28795,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1851,5334,28800,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1851,5335,28805,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1851,5336,28810,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.1851,5337,28815,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.2470,5338,28820,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.2470,5339,28825,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.2470,5340,28830,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.2470,5341,28835,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.2470,5342,28840,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.2470,5343,28845,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.2470,5344,28850,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.2470,5345,28855,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.3085,5346,28860,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.3085,5347,28865,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.3085,5348,28870,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.3085,5349,28875,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.3085,5350,28880,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.3085,5351,28885,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.3085,5352,28890,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.3085,5353,28895,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.3085,5354,28900,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.3085,5355,28905,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.3085,5356,28910,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.3085,5357,28915,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.3085,5358,28920,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.3085,5359,28925,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.3085,5360,28930,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.3085,5361,28935,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.3710,5362,28940,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.3710,5363,28945,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.3710,5364,28950,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.3710,5365,28955,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.3710,5366,28960,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.3710,5367,28965,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.3710,5368,28970,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.3710,5369,28975,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.4354,5370,28980,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.4354,5371,28985,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.4354,5372,28990,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.4354,5373,28995,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.4354,5374,29000,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.4354,5375,29005,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.4354,5376,29010,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.4354,5377,29015,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.4354,5378,29020,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.4354,5379,29025,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.4354,5380,29030,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.4354,5381,29035,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.4354,5382,29040,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.4354,5383,29045,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.4354,5384,29050,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.4354,5385,29055,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.4968,5386,29060,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.4968,5387,29065,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.4968,5388,29070,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.4968,5389,29075,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.4968,5390,29080,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.4968,5391,29085,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.4968,5392,29090,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.4968,5393,29095,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.4968,5394,29100,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.4968,5395,29105,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.4968,5396,29110,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.4968,5397,29115,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.4968,5398,29120,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.4968,5399,29125,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
0.4968,5400,29130,0.000,0.000,0.0,0.000,0.000,0.0,0.000,0.000,0.0
